D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_05_719.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_05_719.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_05_719.jpg,0,1,0,6.270488
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_05_790.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_05_790.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_05_790.jpg,0,1,0,7.177742
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_05_862.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_05_862.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_05_862.jpg,0,1,0,7.859687
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_05_932.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_05_932.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_05_932.jpg,0,1,0,8.763176
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_002.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_002.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_002.jpg,0,1,0,9.436193
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_077.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_077.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_077.jpg,0,1,0,10.32738
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_149.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_149.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_149.jpg,-0.1,1,0,11.2091
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_215.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_215.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_215.jpg,-0.25,1,0,11.96081
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_290.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_290.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_290.jpg,-0.45,1,0,12.80552
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_363.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_363.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_363.jpg,0,1,0,13.25925
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_433.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_433.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_433.jpg,0,1,0,14.14718
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_503.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_503.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_503.jpg,0,1,0,14.69989
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_570.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_570.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_570.jpg,-0.15,1,0,15.54508
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_640.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_640.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_640.jpg,-0.3,1,0,16.26798
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_707.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_707.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_707.jpg,0,1,0,16.74986
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_774.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_774.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_774.jpg,0,0.8433958,0,17.50442
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_847.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_847.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_847.jpg,0,0.6682942,0,18.15941
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_919.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_919.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_919.jpg,-0.2,0.4312365,0,18.5562
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_06_986.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_06_986.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_06_986.jpg,0,0.2448576,0,18.36138
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_07_055.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_07_055.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_07_055.jpg,0,0.01991075,0,18.28789
D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\center_2025_12_03_13_52_07_124.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\left_2025_12_03_13_52_07_124.jpg,D:\HCMUT\HK251\2nd Capstone Project\Data for ML\track_1\IMG\right_2025_12_03_13_52_07_124.jpg,-0.05,0,0,18.59198
